POprc465_1:1	xx	UNI(UNI)	
POprc465_40:140	out	RP(RP)	out
POprc465_40:141	_0	PA(PA)	
POprc465_40:142	with	IN(IN)	with
POprc465_40:143	the	DT(DT)	the
POprc465_40:144	_0	PA(PA)	
POprc465_40:145	hh	BR(BR)	
POprc465_40:146	er	UH(UH)	er
POprc465_40:147	european	NP(NP)	european
POprc465_40:148	union	NP(NP)	union
POprc465_40:149	since	IN(IN)	since
POprc465_40:150	you	PP(PP)	you
POprc465_40:151	are	VBP(VBP)	be
POprc465_40:152	a	DT(DT)	a
POprc465_40:153	sovereign	JJ(JJ)	sovereign
POprc465_40:154	state	NN(NN)	state
POprc465_40:155	_0	PA(PA)	
POprc465_40:156	thanks	FI(FI)	thank
POprc465_40:157	_4	PA(PA)	

POprc465_41:1	we	PP(PP)	we
POprc465_41:2	have	VHP(VHP)	have
POprc465_41:3	in	IN(IN)	in
POprc465_41:4	fact	NN(NN)	fact
POprc465_41:5	er	UH(UH)	er
POprc465_41:6	_0	PA(PA)	
POprc465_41:7	very	RB(RB)	very
POprc465_41:8	extensive	JJ(JJ)	extensive
POprc465_41:9	er	UH(UH)	er
POprc465_41:10	_0	PA(PA)	
POprc465_41:11	relations	NNS(NNS)	relation
POprc465_41:12	with	IN(IN)	with
POprc465_41:13	er	UH(UH)	er
POprc465_41:14	_0	PA(PA)	
POprc465_41:15	serbia	NP(NP)	serbia
POprc465_41:16	_0	PA(PA)	
POprc465_41:17	hh	BR(BR)	
POprc465_41:18	now	RB(RB)	now
POprc465_41:19	er	UH(UH)	er
POprc465_41:20	even	RB(RB)	even
POprc465_41:21	up-	XX(XX)	
POprc465_41:22	_0	PA(PA)	
POprc465_41:23	e-	XX(XX)	
POprc465_41:24	even	RB(RB)	even
POprc465_41:25	outside	IN(IN)	outside
POprc465_41:26	er	UH(UH)	er
POprc465_41:27	the	DT(DT)	the
POprc465_41:28	remit	NN(NN)	remit
POprc465_41:29	of	IN(IN)	of
POprc465_41:30	er	UH(UH)	er
POprc465_41:31	_0	PA(PA)	
POprc465_41:32	the	DT(DT)	the
POprc465_41:33	s_saa	NP(NP)	s_saa
POprc465_41:34	negotiations	NNS(NNS)	negotiation
POprc465_41:35	er	UH(UH)	er
POprc465_41:36	_0	PA(PA)	
POprc465_41:37	we	PP(PP)	we
POprc465_41:38	have	VHP(VHP)	have
POprc465_41:39	er	UH(UH)	er
POprc465_41:40	_0	PA(PA)	
POprc465_41:41	hh	BR(BR)	
POprc465_41:42	just	RB(RB)	just
POprc465_41:43	presented	VVN(VVN)	present
POprc465_41:44	er	UH(UH)	er
POprc465_41:45	_1	PA(PA)	
POprc465_41:46	er	UH(UH)	er
POprc465_41:47	the	DT(DT)	the
POprc465_41:48	negotiation	NN(NN)	negotiation
POprc465_41:49	er	UH(UH)	er
POprc465_41:50	_0	PA(PA)	
POprc465_41:51	we	PP(PP)	we
POprc465_41:52	will	MD(MD)	will
POprc465_41:53	present	VV(VV)	present
POprc465_41:54	this	DT(DT)	this
POprc465_41:55	week	NN(NN)	week
POprc465_41:56	er	UH(UH)	er
POprc465_41:57	the	DT(DT)	the
POprc465_41:58	negotiation	NN(NN)	negotiation
POprc465_41:59	directives	NNS(NNS)	directive
POprc465_41:60	for	IN(IN)	for
POprc465_41:61	_0	PA(PA)	
POprc465_41:62	visa	NNS(NNS)	visum
POprc465_41:63	facilitation	NN(NN)	facilitation
POprc465_41:64	_0	PA(PA)	
POprc465_41:65	hh	BR(BR)	
POprc465_41:66	and	CC(CC)	and
POprc465_41:67	er	UH(UH)	er
POprc465_41:68	_0	PA(PA)	
POprc465_41:69	we	PP(PP)	we
POprc465_41:70	are	VBP(VBP)	be
POprc465_41:71	working	VVG(VVG)	work
POprc465_41:72	in	IN(IN)	in
POprc465_41:73	order	IN(IN)	order
POprc465_41:74	to	IN(IN)	to
POprc465_41:75	_0	PA(PA)	
POprc465_41:76	create	VV(VV)	create
POprc465_41:77	er	UH(UH)	er
POprc465_41:78	_0	PA(PA)	
POprc465_41:79	a	DT(DT)	a
POprc465_41:80	regional	JJ(JJ)	regional
POprc465_41:81	free	NN(NN)	free
POprc465_41:82	trade	NN(NN)	trade
POprc465_41:83	agreement	NN(NN)	agreement
POprc465_41:84	er	UH(UH)	er
POprc465_41:85	by	IN(IN)	by
POprc465_41:86	_0	PA(PA)	
POprc465_41:87	enlarging	VVG(VVG)	enlarge
POprc465_41:88	and	CC(CC)	and
POprc465_41:89	er	UH(UH)	er
POprc465_41:90	_0	PA(PA)	
POprc465_41:91	modernizing	VVG(VVG)	modernize
POprc465_41:92	_0	PA(PA)	
POprc465_41:93	cefta	NP(NP)	cefta
POprc465_41:94	hh	BR(BR)	
POprc465_41:95	all	PDT(PDT)	all
POprc465_41:96	this	DT(DT)	this
POprc465_41:97	mean	V(VVZ)	mean
POprc465_41:98	that	IN(IN)	that
POprc465_41:99	er	UH(UH)	er
POprc465_41:100	_0	PA(PA)	
POprc465_41:101	the	DT(DT)	the
POprc465_41:102	economic	JJ(JJ)	economic
POprc465_41:103	er	UH(UH)	er
POprc465_41:104	opportunities	NNS(NNS)	opportunity
POprc465_41:105	and	CC(CC)	and
POprc465_41:106	er	UH(UH)	er
POprc465_41:107	_0	PA(PA)	
POprc465_41:108	people	NNS(NNS)	people
POprc465_41:109	to	IN(IN)	to
POprc465_41:110	people	NNS(NNS)	people
POprc465_41:111	contacts	NNS(NNS)	contact
POprc465_41:112	er	UH(UH)	er
POprc465_41:113	_0	PA(PA)	
POprc465_41:114	will	MD(MD)	will
POprc465_41:115	er	UH(UH)	er
POprc465_41:116	_0	PA(PA)	
POprc465_41:117	be	VB(VB)	be
POprc465_41:118	enhanced	VVN(VVN)	enhance
POprc465_41:119	er	UH(UH)	er
POprc465_41:120	_1	PA(PA)	
POprc465_41:121	in	IN(IN)	in
POprc465_41:122	the	DT(DT)	the
POprc465_41:123	future	NN(NN)	future
POprc465_41:124	_0	PA(PA)	
POprc465_41:125	between	IN(IN)	between
POprc465_41:126	serbia	NP(NP)	serbia
POprc465_41:127	and	CC(CC)	and
POprc465_41:128	the	DT(DT)	the
POprc465_41:129	european	NP(NP)	european
POprc465_41:130	_0	PA(PA)	
POprc465_41:131	union	NP(NP)	union
POprc465_41:132	_0	PA(PA)	
POprc465_41:133	hh	BR(BR)	
POprc465_41:134	as	IN(IN)	as
POprc465_41:135	regards	VVZ(VVZ)	regard
POprc465_41:136	er	UH(UH)	er
POprc465_41:137	_0	PA(PA)	
POprc465_41:138	the	DT(DT)	the
POprc465_41:139	s_saa	NP(NP)	s_saa
POprc465_41:140	negotiations	NNS(NNS)	negotiation
POprc465_41:141	er	UH(UH)	er
POprc465_41:142	_0	PA(PA)	
POprc465_41:143	i	PP(PP)	i
POprc465_41:144	already	RB(RB)	already
POprc465_41:145	_1	PA(PA)	
POprc465_41:146	clearly	RB(RB)	clearly
POprc465_41:147	_0	PA(PA)	
POprc465_41:148	outlined	VVD(VVD)	outline
POprc465_41:149	er	UH(UH)	er
POprc465_41:150	_0	PA(PA)	
POprc465_41:151	what	WP(WP)	what
POprc465_41:152	is	VBZ(VBZ)	be
POprc465_41:153	the	DT(DT)	the
POprc465_41:154	_0	PA(PA)	
POprc465_41:155	necessary	JJ(JJ)	necessary
POprc465_41:156	condition	NN(NN)	condition
POprc465_41:157	to	TO(TO)	to
POprc465_41:158	_0	PA(PA)	
POprc465_41:159	resume	VV(VV)	resume
POprc465_41:160	_0	PA(PA)	
POprc465_41:161	these	DT(DT)	these
POprc465_41:162	negotiations	NNS(NNS)	negotiation
POprc465_41:163	er	UH(UH)	er
POprc465_41:164	_0	PA(PA)	
POprc465_41:165	hh	BR(BR)	
POprc465_41:166	and	CC(CC)	and
POprc465_41:167	concerning	IN(IN)	concerning
POprc465_41:168	the	DT(DT)	the
POprc465_41:169	action	NN(NN)	action
POprc465_41:170	plan	NN(NN)	plan
POprc465_41:171	_0	PA(PA)	
POprc465_41:172	hh	BR(BR)	
POprc465_41:173	i	PP(PP)	i
POprc465_41:174	'm	VBP(VBP)	be
POprc465_41:175	very	RB(RB)	very
POprc465_41:176	_0	PA(PA)	
POprc465_41:177	glad	JJ(JJ)	glad
POprc465_41:178	that	IN(IN)	that
POprc465_41:179	er	UH(UH)	er
POprc465_41:180	_0	PA(PA)	
POprc465_41:181	serbia	NP(NP)	serbia
POprc465_41:182	has	VHZ(VHZ)	have
POprc465_41:183	consulted	VVN(VVN)	consult
POprc465_41:184	er	UH(UH)	er
POprc465_41:185	_0	PA(PA)	
POprc465_41:186	s_icty	NP(NP)	s_icty
POprc465_41:187	_0	PA(PA)	
POprc465_41:188	hh	BR(BR)	
POprc465_41:189	and	CC(CC)	and
POprc465_41:190	er	UH(UH)	er
POprc465_41:191	_0	PA(PA)	
POprc465_41:192	xx	UNI(UNI)	
POprc465_41:193	the	DT(DT)	the
POprc465_41:194	troika	NP(NP)	troika
POprc465_41:195	is	VBZ(VBZ)	be
POprc465_41:196	er	UH(UH)	er
POprc465_41:197	_0	PA(PA)	
POprc465_41:198	also	RB(RB)	also
POprc465_41:199	to	TO(TO)	to
POprc465_41:200	be	VB(VB)	be
POprc465_41:201	consulted	VVN(VVN)	consult
POprc465_41:202	er	UH(UH)	er
POprc465_41:203	_0	PA(PA)	
POprc465_41:204	so	IN(IN)	so
POprc465_41:205	that	IN(IN)	that
POprc465_41:206	er	UH(UH)	er
POprc465_41:207	_0	PA(PA)	
POprc465_41:208	we	PP(PP)	we
POprc465_41:209	are	VBP(VBP)	be
POprc465_41:210	aware	JJ(JJ)	aware
POprc465_41:211	what	WP(WP)	what
POprc465_41:212	serbia	NP(NP)	serbia
POprc465_41:213	is	VBZ(VBZ)	be
POprc465_41:214	doing	VVG(VVG)	do
POprc465_41:215	_0	PA(PA)	
POprc465_41:216	hh	BR(BR)	
POprc465_41:217	and	CC(CC)	and
POprc465_41:218	er	UH(UH)	er
POprc465_41:219	_0	PA(PA)	
POprc465_41:220	we	PP(PP)	we
POprc465_41:221	provide	VVP(VVP)	provide
POprc465_41:222	er	UH(UH)	er
POprc465_41:223	_0	PA(PA)	
POprc465_41:224	our	PP$(PP$)	we
POprc465_41:225	_0	PA(PA)	
POprc465_41:226	political	JJ(JJ)	political
POprc465_41:227	support	NN(NN)	support
POprc465_41:228	er	UH(UH)	er
POprc465_41:229	_0	PA(PA)	
POprc465_41:230	encourage	VVP(VVP)	encourage
POprc465_41:231	serbia	NP(NP)	serbia
POprc465_41:232	to	TO(TO)	to
POprc465_41:233	_0	PA(PA)	
POprc465_41:234	hh	BR(BR)	
POprc465_41:235	cooperate	VV(VV)	cooperate
POprc465_41:236	with	IN(IN)	with
POprc465_41:237	s_icty	NP(NP)	s_icty
POprc465_41:238	_0	PA(PA)	
POprc465_41:239	but	CC(CC)	but
POprc465_41:240	finally	RB(RB)	finally
POprc465_41:241	_0	PA(PA)	
POprc465_41:242	the	DT(DT)	the
POprc465_41:243	implementation	NN(NN)	implementation
POprc465_41:244	_1	PA(PA)	
POprc465_41:245	the	DT(DT)	the
POprc465_41:246	decision-making	VVG(NN)	decision-make/decision-making
POprc465_41:247	and	CC(CC)	and
POprc465_41:248	the	DT(DT)	the
POprc465_41:249	implementation	NN(NN)	implementation
POprc465_41:250	on	IN(IN)	on
POprc465_41:251	the	DT(DT)	the
POprc465_41:252	action	NN(NN)	action
POprc465_41:253	plan	NN(NN)	plan
POprc465_41:254	_0	PA(PA)	
POprc465_41:255	the	DT(DT)	the
POprc465_41:256	concrete	JJ(JJ)	concrete
POprc465_41:257	actions	NNS(NNS)	action
POprc465_41:258	er	UH(UH)	er
POprc465_41:259	_0	PA(PA)	
POprc465_41:260	are	VBP(VBP)	be
POprc465_41:261	_0	PA(PA)	
POprc465_41:262	the	DT(DT)	the
POprc465_41:263	responsibility	NN(NN)	responsibility
POprc465_41:264	of	IN(IN)	of
POprc465_41:265	er	UH(UH)	er
POprc465_41:266	_0	PA(PA)	
POprc465_41:267	of	IN(IN)	of
POprc465_41:268	er	UH(UH)	er
POprc465_41:269	serbia	NP(NP)	serbia
POprc465_41:270	_2	PA(PA)	

POprc465_42:1	i	PP(PP)	i
POprc465_42:2	shall	MD(MD)	shall
POprc465_42:3	repeat	VV(VV)	repeat
POprc465_42:4	that	IN(IN)	that
POprc465_42:5	it	PP(PP)	it
POprc465_42:6	is	VBZ(VBZ)	be
POprc465_42:7	primary	JJ(JJ)	primary
POprc465_42:8	in	IN(IN)	in
POprc465_42:9	_0	PA(PA)	
POprc465_42:10	primary	JJ(JJ)	primary
POprc465_42:11	in	IN(IN)	in
POprc465_42:12	the	DT(DT)	the
POprc465_42:13	interest	NN(NN)	interest
POprc465_42:14	of	IN(IN)	of
POprc465_42:15	serbia	NP(NP)	serbia
POprc465_42:16	to	TO(TO)	to
POprc465_42:17	_0	PA(PA)	
POprc465_42:18	complete	VV(VV)	complete
POprc465_42:19	the	DT(DT)	the
POprc465_42:20	cooperation	NN(NN)	cooperation
POprc465_42:21	with	IN(IN)	with
POprc465_42:22	the	DT(DT)	the
POprc465_42:23	icty	NP(NP)	icty
POprc465_42:24	_0	PA(PA)	
POprc465_42:25	hh	BR(BR)	
POprc465_42:26	i	PP(PP)	i
POprc465_42:27	think	VVP(VVP)	think
POprc465_42:28	that	IN(IN)	that
POprc465_42:29	er	UH(UH)	er
POprc465_42:30	through	IN(IN)	through
POprc465_42:31	this	DT(DT)	this
POprc465_42:32	document	NN(NN)	document
POprc465_42:33	and	CC(CC)	and
POprc465_42:34	er	UH(UH)	er
POprc465_42:35	cooperation	NN(NN)	cooperation
POprc465_42:36	with	IN(IN)	with
POprc465_42:37	er	UH(UH)	er
POprc465_42:38	er	UH(UH)	er
POprc465_42:39	_0	PA(PA)	

POprc465_44:1	icty	NP(NP)	icty
POprc465_44:2	and	CC(CC)	and
POprc465_44:3	er	UH(UH)	er
POprc465_44:4	hh	BR(BR)	
POprc465_44:5	s_eu	NP(NP)	s_eu
POprc465_44:6	it	PP(PP)	it
POprc465_44:7	is	VBZ(VBZ)	be
POprc465_44:8	er	UH(UH)	er
POprc465_44:9	it	PP(PP)	it
POprc465_44:10	would	MD(MD)	will
POprc465_44:11	be	VB(VB)	be
POprc465_44:12	_1	PA(PA)	
POprc465_44:13	that	IN(IN)	that
POprc465_44:14	er	UH(UH)	er
POprc465_44:15	p_completition	PVC(NN)	
POprc465_44:16	of	IN(IN)	of
POprc465_44:17	the	DT(DT)	the
POprc465_44:18	cooperation	NN(NN)	cooperation
POprc465_44:19	would	MD(MD)	will
POprc465_44:20	be	VB(VB)	be
POprc465_44:21	more	RBR(RBR)	more
POprc465_44:22	efficient	JJ(JJ)	efficient
POprc465_44:23	hh	BR(BR)	
POprc465_44:24	but	CC(CC)	but
POprc465_44:25	_0	PA(PA)	
POprc465_44:26	i	PP(PP)	i
POprc465_44:27	will	MD(MD)	will
POprc465_44:28	add	VV(VV)	add
POprc465_44:29	to	IN(IN)	to
POprc465_44:30	this	DT(DT)	this
POprc465_44:31	that	IN(IN)	that
POprc465_44:32	up	IN(IN)	up
POprc465_44:33	till	IN(IN)	till
POprc465_44:34	now	RB(RB)	now
POprc465_44:35	er	UH(UH)	er
POprc465_44:36	serbia	NP(NP)	serbia
POprc465_44:37	has	VHZ(VHZ)	have
POprc465_44:38	demonstrated	VVN(VVN)	demonstrate
POprc465_44:39	political	JJ(JJ)	political
POprc465_44:40	will	NN(NN)	will
POprc465_44:41	hh	BR(BR)	
POprc465_44:42	to	TO(TO)	to
POprc465_44:43	complete	VV(VV)	complete
POprc465_44:44	this	DT(DT)	this
POprc465_44:45	cooperation	NN(NN)	cooperation
POprc465_44:46	with	IN(IN)	with
POprc465_44:47	the	DT(DT)	the
POprc465_44:48	icty	NP(NP)	icty
POprc465_44:49	and	CC(CC)	and
POprc465_44:50	that	IN(IN)	that
POprc465_44:51	er	UH(UH)	er
POprc465_44:52	the	DT(DT)	the
POprc465_44:53	very	JJ(JJ)	very
POprc465_44:54	fact	NN(NN)	fact
POprc465_44:55	that	IN(IN)	that
POprc465_44:56	er	UH(UH)	er
POprc465_44:57	hh	BR(BR)	
POprc465_44:58	in	IN(IN)	in
POprc465_44:59	less	JJR(JJR)	less
POprc465_44:60	than	IN(IN)	than
POprc465_44:61	one	CD(CD)	one
POprc465_44:62	year	NN(NN)	year
POprc465_44:63	there	EX(EX)	there
POprc465_44:64	were	VBD(VBD)	be
POprc465_44:65	er	UH(UH)	er
POprc465_44:66	sixteen	CD(CD)	sixteen
POprc465_44:67	p_indictees	PVC(NNS)	
POprc465_44:68	that	PRE(PRE)	that
POprc465_44:69	were	VBD(VBD)	be
POprc465_44:70	transferred	VVN(VVN)	transfer
POprc465_44:71	to	IN(IN)	to
POprc465_44:72	the	DT(DT)	the
POprc465_44:73	hague	NP(NP)	hague
POprc465_44:74	is	VBZ(VBZ)	be
POprc465_44:75	something	NN(NN)	something
POprc465_44:76	that	PRE(PRE)	that
POprc465_44:77	proves	VVZ(VVZ)	prove
POprc465_44:78	_0	PA(PA)	
POprc465_44:79	hh	BR(BR)	
POprc465_44:80	that	IN(IN)	that
POprc465_44:81	serbia	NP(NP)	serbia
POprc465_44:82	hh	BR(BR)	
POprc465_44:83	er	UH(UH)	er
POprc465_44:84	is	VBZ(VBZ)	be
POprc465_44:85	er	UH(UH)	er
POprc465_44:86	_0	PA(PA)	
POprc465_44:87	willing	JJ(JJ)	willing
POprc465_44:88	and	CC(CC)	and
POprc465_44:89	looking	VVG(VVG)	look
POprc465_44:90	forward	RB(RB)	forward
POprc465_44:91	to	IN(IN)	to
POprc465_44:92	full	JJ(JJ)	full
POprc465_44:93	cooperation	NN(NN)	cooperation
POprc465_44:94	that	DT(DT)	that
POprc465_44:95	is	VBZ(VBZ)	be
POprc465_44:96	er	UH(UH)	er
POprc465_44:97	_0	PA(PA)	
POprc465_44:98	beyond	IN(IN)	beyond
POprc465_44:99	any	DT(DT)	any
POprc465_44:100	doubt	NN(NN)	doubt
POprc465_44:101	hh	BR(BR)	
POprc465_44:102	er	UH(UH)	er
POprc465_44:103	the	DT(DT)	the
POprc465_44:104	remaining	JJ(JJ)	remaining
POprc465_44:105	cases	NNS(NNS)	case
POprc465_44:106	including	IN(IN)	including
POprc465_44:107	the	DT(DT)	the
POprc465_44:108	case	NN(NN)	case
POprc465_44:109	of	IN(IN)	of
POprc465_44:110	mladic	NP(NP)	mladic
POprc465_44:111	er	UH(UH)	er
POprc465_44:112	_0	PA(PA)	
POprc465_44:113	hh	BR(BR)	
POprc465_44:114	should	MD(MD)	shall
POprc465_44:115	not	RB(RB)	not
POprc465_44:116	_0	PA(PA)	
POprc465_44:117	by	IN(IN)	by
POprc465_44:118	any	DT(DT)	any
POprc465_44:119	case	NN(NN)	case
POprc465_44:120	er	UH(UH)	er
POprc465_44:121	hh	BR(BR)	
POprc465_44:122	er	UH(UH)	er
POprc465_44:123	_0	PA(PA)	
POprc465_44:124	change	VV(VV)	change
POprc465_44:125	_0	PA(PA)	
POprc465_44:126	that	DT(DT)	that
POprc465_44:127	picture	NN(NN)	picture
POprc465_44:128	and	CC(CC)	and
POprc465_44:129	that	IN(IN)	that
POprc465_44:130	there	EX(EX)	there
POprc465_44:131	would	MD(MD)	will
POprc465_44:132	be	VB(VB)	be
POprc465_44:133	no	DT(DT)	no
POprc465_44:134	reason	NN(NN)	reason
POprc465_44:135	for	IN(IN)	for
POprc465_44:136	serbia	NP(NP)	serbia
POprc465_44:137	to	TO(TO)	to
POprc465_44:138	hh	BR(BR)	
POprc465_44:139	er	UH(UH)	er
POprc465_44:140	act	VV(VV)	act
POprc465_44:141	er	UH(UH)	er
POprc465_44:142	differently	RB(RB)	differently
POprc465_44:143	in	IN(IN)	in
POprc465_44:144	mladic	NP(NP)	mladic
POprc465_44:145	's	POS(POS)	's
POprc465_44:146	case	NN(NN)	case
POprc465_44:147	and	CC(CC)	and
POprc465_44:148	the	DT(DT)	the
POprc465_44:149	case	NN(NN)	case
POprc465_44:150	of	IN(IN)	of
POprc465_44:151	the	DT(DT)	the
POprc465_44:152	remaining	JJ(JJ)	remaining
POprc465_44:153	_0	PA(PA)	
POprc465_44:154	p_indictees	PVC(NNS)	
POprc465_44:155	than	IN(IN)	than
POprc465_44:156	it	PP(PP)	it
POprc465_44:157	had	VHD(VHD)	have
POprc465_44:158	done	VVN(VVN)	do
POprc465_44:159	hh	BR(BR)	
POprc465_44:160	in	IN(IN)	in
POprc465_44:161	these	DT(DT)	these
POprc465_44:162	previous	JJ(JJ)	previous
POprc465_44:163	cases	NNS(NNS)	case
POprc465_44:164	and	CC(CC)	and
POprc465_44:165	that	DT(DT)	that
POprc465_44:166	's	VBS(VBS)	be
POprc465_44:167	something	NN(NN)	something
POprc465_44:168	that	PRE(PRE)	that
POprc465_44:169	really	RB(RB)	really
POprc465_44:170	hh	BR(BR)	
POprc465_44:171	is	VBZ(VBZ)	be
POprc465_44:172	the	DT(DT)	the
POprc465_44:173	best	JJS(JJS)	good
POprc465_44:174	prove	NN(NN)	prove
POprc465_44:175	i	PP(PP)	i
POprc465_44:176	think	VVP(VVP)	think
POprc465_44:177	that	IN(IN)	that
POprc465_44:178	er	UH(UH)	er
POprc465_44:179	_0	PA(PA)	
POprc465_44:180	our	PP$(PP$)	we
POprc465_44:181	_0	PA(PA)	
POprc465_44:182	hh	BR(BR)	
POprc465_44:183	cooperation	NN(NN)	cooperation
POprc465_44:184	with	IN(IN)	with
POprc465_44:185	_0	PA(PA)	
POprc465_44:186	this	DT(DT)	this
POprc465_44:187	plan	NN(NN)	plan
POprc465_44:188	hh	BR(BR)	
POprc465_44:189	and	CC(CC)	and
POprc465_44:190	with	IN(IN)	with
POprc465_44:191	er	UH(UH)	er
POprc465_44:192	further	JJ(JJ)	further
POprc465_44:193	operational	JJ(JJ)	operational
POprc465_44:194	plans	NNS(NNS)	plan
POprc465_44:195	er	UH(UH)	er
POprc465_44:196	will	MD(MD)	will
POprc465_44:197	be	VB(VB)	be
POprc465_44:198	hh	BR(BR)	
POprc465_44:199	er	UH(UH)	er
POprc465_44:200	more	RBR(RBR)	more
POprc465_44:201	efficient	JJ(JJ)	efficient
POprc465_44:202	and	CC(CC)	and
POprc465_44:203	will	MD(MD)	will
POprc465_44:204	lead	VV(VV)	lead
POprc465_44:205	us	PP(PP)	we
POprc465_44:206	first	RB(RB)	first
POprc465_44:207	of	IN(IN)	of
POprc465_44:208	all	DT(DT)	all
POprc465_44:209	to	IN(IN)	to
POprc465_44:210	the	DT(DT)	the
POprc465_44:211	_0	PA(PA)	
POprc465_44:212	hh	BR(BR)	
POprc465_44:213	full	JJ(JJ)	full
POprc465_44:214	cooperation	NN(NN)	cooperation
POprc465_44:215	with	IN(IN)	with
POprc465_44:216	the	DT(DT)	the
POprc465_44:217	icty	NP(NP)	icty
POprc465_44:218	and	CC(CC)	and
POprc465_44:219	then	RB(RB)	then
POprc465_44:220	erm	UH(UH)	erm
POprc465_44:221	er	UH(UH)	er
POprc465_44:222	of	RB(RB)	of
POprc465_44:223	course	RB(RB)	course
POprc465_44:224	er	UH(UH)	er
POprc465_44:225	sooner	RBR(RBR)	soon
POprc465_44:226	or	CC(CC)	or
POprc465_44:227	later	RBR(RBR)	late
POprc465_44:228	hh	BR(BR)	
POprc465_44:229	er	UH(UH)	er
POprc465_44:230	continuation	NN(NN)	continuation
POprc465_44:231	of	IN(IN)	of
POprc465_44:232	er	UH(UH)	er
POprc465_44:233	negotiation	NN(NN)	negotiation
POprc465_44:234	for	IN(IN)	for
POprc465_44:235	s_saa	NP(NP)	s_saa
POprc465_44:236	_2	PA(PA)	

POprc465_45:1	hh	BR(BR)	
POprc465_45:2	thank	FI(FI)	thank
POprc465_45:3	you	FI(FI)	you
POprc465_45:4	a_[S9]	NP(NP)	
POprc465_45:5	a_[S9/last]	NP(NP)	
POprc465_45:6	german	NP(NP)	german
POprc465_45:7	press	NP(NP)	press
POprc465_45:8	agency	NP(NP)	agency
POprc465_45:9	a_[org4]	NP(NP)	
POprc465_45:10	hh	BR(BR)	
POprc465_45:11	er	UH(UH)	er
POprc465_45:12	if	IN(IN)	if
POprc465_45:13	i	PP(PP)	i
POprc465_45:14	understood	VVD(VVD)	understand
POprc465_45:15	_0	PA(PA)	
POprc465_45:16	er	UH(UH)	er
POprc465_45:17	well	DM(DM)/RB(RB)	well
POprc465_45:18	what	WP(WP)	what
POprc465_45:19	mister	NN(NN)	mister
POprc465_45:20	er	UH(UH)	er
POprc465_45:21	a_[S1/last]-	XX(XX)	
POprc465_45:22	er	UH(UH)	er
POprc465_45:23	a_[S1/last]	NP(NP)	
POprc465_45:24	has	VHZ(VHZ)	have
POprc465_45:25	_0	PA(PA)	
POprc465_45:26	said	VVN(VVN)	say
POprc465_45:27	then	RB(RB)	then
POprc465_45:28	hh	BR(BR)	
POprc465_45:29	er	UH(UH)	er
POprc465_45:30	now	RB(RB)	now
POprc465_45:31	the	DT(DT)	the
POprc465_45:32	m-	XX(XX)	
POprc465_45:33	the	DT(DT)	the
POprc465_45:34	negotiations	NNS(NNS)	negotiation
POprc465_45:35	on	IN(IN)	on
POprc465_45:36	the	DT(DT)	the
POprc465_45:37	stability	NN(NN)	stability
POprc465_45:38	and	CC(CC)	and
POprc465_45:39	asso-	XX(XX)	
POprc465_45:40	association	NN(NN)	association
POprc465_45:41	agreement	NN(NN)	agreement
POprc465_45:42	can	MD(MD)	can
POprc465_45:43	_0	PA(PA)	
POprc465_45:44	go	VV(VV)	go
POprc465_45:45	on	RP(RP)	on
POprc465_45:46	_0	PA(PA)	
POprc465_45:47	hh	BR(BR)	
POprc465_45:48	but	CC(CC)	but
POprc465_45:49	on	IN(IN)	on
POprc465_45:50	the	DT(DT)	the
POprc465_45:51	other	JJ(JJ)	other
POprc465_45:52	hand	NN(NN)	hand
POprc465_45:53	mister	NN(NN)	mister
POprc465_45:54	a_[S3/last]	NP(NP)	
POprc465_45:55	said	VVD(VVD)	say
POprc465_45:56	well	DM(DM)	well
POprc465_45:57	er	UH(UH)	er
POprc465_45:58	the	DT(DT)	the
POprc465_45:59	there	EX(EX)	there
POprc465_45:60	have	VHP(VHP)	have
POprc465_45:61	er	UH(UH)	er
POprc465_45:62	still	RB(RB)	still
POprc465_45:63	_0	PA(PA)	
POprc465_45:64	some	DT(DT)	some
POprc465_45:65	some	DT(DT)	some
POprc465_45:66	er	UH(UH)	er
POprc465_45:67	conditions	NNS(NNS)	condition
POprc465_45:68	to	TO(TO)	to
POprc465_45:69	be	VB(VB)	be
POprc465_45:70	fulfilled	VVN(VVN)	fulfil
POprc465_45:71	hh	BR(BR)	
POprc465_45:72	so	DM(DM)	so
POprc465_45:73	did	VVD(VVD)	do
POprc465_45:74	you	PP(PP)	you
POprc465_45:75	_0	PA(PA)	
POprc465_45:76	envisage	VVP(VVP)	envisage
POprc465_45:77	a	DT(DT)	a
POprc465_45:78	certain	JJ(JJ)	certain
POprc465_45:79	date	NN(NN)	date
POprc465_45:80	_0	PA(PA)	
POprc465_45:81	hh	BR(BR)	
POprc465_45:82	for	IN(IN)	for
POprc465_45:83	taking	VVG(VVG)	take
POprc465_45:84	er	UH(UH)	er
POprc465_45:85	t-	XX(XX)	
POprc465_45:86	er	UH(UH)	er
POprc465_45:87	taking	VVG(VVG)	take
POprc465_45:88	up	RP(RP)	up
POprc465_45:89	er	UH(UH)	er
POprc465_45:90	the	DT(DT)	the
POprc465_45:91	the	DT(DT)	the
POprc465_45:92	negotiations	NNS(NNS)	negotiation
POprc465_45:93	thank	FI(FI)	thank
POprc465_45:94	you	FI(FI)	you
POprc465_45:95	_1	PA(PA)	

POprc465_46:1	er	UH(UH)	er
POprc465_46:2	i	PP(PP)	i
